0 X 14 39 53 X X X X X 74 X X 69 X 58 4 X 50 77 21 X 27 86 X X X 64 X 90 X 85 X X 17 X 48 X 86 70 X 60 X X X X X X X 42 29 4 85 10 X X X 31 X X X X 85 X X X 51 34 36 X X X 33 X X 77 100 X X X X X 25 X X 44 X 100 X 81 43 53 51 X X X X X 47 24 
X 0 X 53 X 12 51 X 17 X X X 38 37 65 71 X X 48 X 75 X X 92 X X 88 97 X 65 X 61 X 60 82 X 10 8 X 98 X 83 X X X 75 24 43 27 8 14 X X X X X 20 11 X X X 94 X X 51 14 X 85 51 X X 82 33 42 19 79 X 73 90 X X 28 11 46 66 53 X 65 X X X 2 98 85 X 88 X X X 22 
14 X 0 60 X 94 22 X 1 X 91 X 74 X 85 35 X X 7 51 X 64 25 35 44 85 X 47 X 8 X 23 X 57 92 X 51 49 70 63 74 X X 7 40 64 X 75 14 X 41 64 77 25 100 96 X X 18 X 24 60 X X X X 97 X 49 X X X X 71 32 X 93 X 50 57 91 X X 94 78 75 X 69 X X X X X 18 15 X X 27 50 X 
39 53 60 0 X 67 X X X X X X 78 34 X 65 28 78 X X X 64 X 14 X 44 69 62 50 X 98 19 98 X X X X 25 91 X 13 1 X X 42 X X X X X 33 4 48 43 X 91 14 67 30 X 55 X X X 31 X 21 X X X 67 94 X 59 X X 52 57 X X 27 X 57 X 28 60 94 X 81 X 81 X X X X 22 37 4 X 11 
53 X X X 0 24 31 X X X X X X 50 X X 92 21 X X X 93 X X X 27 11 X 94 X 76 X 23 X X X 4 X X X 19 X 83 90 31 X X 55 X X X X 47 X X 28 X 89 97 X X 45 51 75 X 99 78 40 33 78 X X X 58 69 X X 60 X X 10 X 17 47 60 16 49 X 54 X 5 X X 33 96 X 17 2 7 32 
X 12 94 67 24 0 X X 9 X X X 76 X 3 X 51 X 33 X X X 38 X 77 X X 27 86 93 X X X 29 X 61 34 X X X X 95 X 82 X 16 64 X X 77 87 X X 66 X 26 31 X X 96 51 X X X 74 10 X X X X X 97 X 43 8 26 X X 28 26 X 17 37 78 34 27 X 40 4 52 53 X X 93 X 41 38 X 20 5 
X 51 22 X 31 X 0 21 X X X 26 73 X 64 X 19 29 X X X X 41 76 31 54 71 51 X X X X X 15 55 X X X 55 52 X X X X X X X X X X 81 X X 99 X 1 54 X 85 40 74 X 4 X 59 34 X 68 90 1 72 X 66 33 X X X 47 X 28 X X X 30 X 56 89 75 77 X X X X X 9 X 75 18 X 56 
X X X X X X 21 0 71 X 89 54 X X 63 X 63 39 45 X X X X X 12 X X 33 X 77 51 X 81 29 88 46 X X 80 7 X X X 65 X 2 58 59 X 70 33 44 75 X X X 89 49 90 X X 41 92 29 X X 37 X X X X X 18 X X 85 18 88 X X 17 20 57 X 27 X X X X 44 X X 93 X X X X 11 47 X 
X 17 1 X X 9 X 71 0 X X X X 13 X 73 X X 1 63 13 82 64 50 X X 3 X X X X X X X X 18 X X X X X 20 X X 36 X 47 X 51 X X X X 95 52 X X 30 X X 8 29 X X 74 88 X 73 72 12 13 X 67 X 78 X 91 76 30 87 68 X X 93 X X X 78 41 X X X 91 51 13 X 82 86 X 48 
X X X X X X X X X 0 X X X X X X 71 X 19 X 82 X X 21 3 50 X X X X 52 X X 28 X X 29 X 89 73 X 8 31 X 32 72 X X 14 58 36 24 X 57 2 X 80 X X 27 20 72 38 11 78 X X X X X 15 4 X 71 2 X 88 63 16 X X X 40 18 X X 84 X X X 90 X 26 95 39 59 X X 12 X 
74 X 91 X X X X 89 X X 0 70 87 99 59 X 53 17 2 82 X X X X X X 3 89 96 46 X 77 X X X 24 6 67 70 X X 18 68 56 24 X 42 75 X 21 80 X 27 X X 35 X X X 15 X X X X 62 14 X X X 9 11 20 X X X X 77 X X 53 X 45 57 X X X X 9 11 X X 58 82 24 X 18 X 9 X 77 
